product_a_id,product_b_id,times_bought_together
bafca65a-3469-434d-a029-ad3d7a0aaa84,f72c9dbe-18f7-4ab8-a287-faaff2e549d7,6
8a2c3053-9e38-44d4-a447-630ddb0ae9d8,d528b497-fb5e-44de-9cb4-1915a6b7e52b,4
bafca65a-3469-434d-a029-ad3d7a0aaa84,e6c6dc4b-34ba-4d40-852f-0ae71f3e9334,4
060a4cc1-9f3e-46b5-a6ad-cd5bbf4e4252,f162296f-df74-4f08-8ddc-7450992b657c,3
0aa68333-8aa1-4b45-9e8e-f4df51efc4e2,8a2c3053-9e38-44d4-a447-630ddb0ae9d8,3
0dccb6d9-aab6-477c-8081-41f2c08b1f83,144fa98c-88e7-4ffa-b4ef-3d72a743ba31,3
144fa98c-88e7-4ffa-b4ef-3d72a743ba31,5dfcbbeb-624c-4b9b-bbbd-86575739ea3b,3
1c557cd6-92f7-42aa-ba9f-10edab7070fd,a891b765-15af-46ff-a9b8-36e8ede78009,3
1cdb2072-17dd-40a0-847c-500de0f2af4f,5943bd66-bbba-4a9b-ad72-a590e91e20d9,3
2f5c38f8-dae8-46cd-aa98-174f3825e534,341649ae-5f0b-4671-87f0-464d71372265,3
2f5c38f8-dae8-46cd-aa98-174f3825e534,6e0bbedb-b70b-401a-b11b-6af51616a247,3
341649ae-5f0b-4671-87f0-464d71372265,4c12e5cb-6bb0-4599-bb33-028ff50e0055,3
399005e8-efc8-4053-808d-431e9b7c43db,7d51facc-24ea-4524-ab56-8aa95b8b2546,3
399005e8-efc8-4053-808d-431e9b7c43db,9ce6611d-8f19-4ec2-99a8-4d10669d4d8c,3
3bfb91ad-6d38-4aaf-871f-4aca5d481d90,4690607f-11f8-4ca4-8c43-0531e4161ab8,3
457cbafe-fff8-4dfe-ade6-d25de9c0d171,ddf4386e-35d7-4167-b64d-540773b94ca7,3
6183c2d7-d1e1-40b4-bdaf-4d66849a18c9,d77881cf-213c-4811-8b16-12036b0b63b5,3
63e42117-5381-4f96-820a-5ab787e8e1b0,a3606d70-ed33-492c-871a-f7c1e055f6d8,3
7d51facc-24ea-4524-ab56-8aa95b8b2546,bafca65a-3469-434d-a029-ad3d7a0aaa84,3
8a2c3053-9e38-44d4-a447-630ddb0ae9d8,c8b41ca4-42d9-4554-9412-ece665018f51,3
8a2c3053-9e38-44d4-a447-630ddb0ae9d8,e33bd26c-af47-4746-a96d-2b234136ccb7,3
8a2c3053-9e38-44d4-a447-630ddb0ae9d8,fe3093e8-16f8-4fbe-bd82-4a1364cc88fb,3
a3965127-a216-443e-b4f8-bd66cb81276b,abb43f45-10fe-4e10-b97f-9a87c37f293d,3
c3201119-dd99-4844-8a46-a4c38f9d13a8,eefc49cc-6670-4d6a-a55a-c526de0a501a,3
d728142a-d47a-4cde-82cf-b1c2b3c01bd0,f72c9dbe-18f7-4ab8-a287-faaff2e549d7,3
e6c6dc4b-34ba-4d40-852f-0ae71f3e9334,f72c9dbe-18f7-4ab8-a287-faaff2e549d7,3
034afac9-d400-420d-9ef4-dada0aa78179,1cdb2072-17dd-40a0-847c-500de0f2af4f,2
060a4cc1-9f3e-46b5-a6ad-cd5bbf4e4252,3bfb91ad-6d38-4aaf-871f-4aca5d481d90,2
060a4cc1-9f3e-46b5-a6ad-cd5bbf4e4252,3df17fd0-1005-451f-b230-397270c49ed5,2
060a4cc1-9f3e-46b5-a6ad-cd5bbf4e4252,7931d8a6-c4ea-4f1f-bd55-45c08c88453d,2
060a4cc1-9f3e-46b5-a6ad-cd5bbf4e4252,e9d67588-137e-40d8-bec3-7ccd4f9464e9,2
06c20ebc-c178-4215-a193-ca593c49ba1d,1cdb2072-17dd-40a0-847c-500de0f2af4f,2
06c20ebc-c178-4215-a193-ca593c49ba1d,5943bd66-bbba-4a9b-ad72-a590e91e20d9,2
06c20ebc-c178-4215-a193-ca593c49ba1d,836c8c18-fa1b-4436-8adf-c3d48ae38b69,2
06d2ba12-b5b8-4095-95fd-58b4ac14468e,15fb86bf-d07e-4875-b03c-9100461f0035,2
06d2ba12-b5b8-4095-95fd-58b4ac14468e,4249baf3-2d52-4701-8f56-56d033aaab3d,2
06d2ba12-b5b8-4095-95fd-58b4ac14468e,919f696b-1d4c-4f96-8dfa-41344c6619de,2
06d2ba12-b5b8-4095-95fd-58b4ac14468e,fe08c80d-9561-4277-945e-117270001115,2
0a705b56-913a-451a-879c-7a062ba7564d,4145db9f-7c36-4565-ae51-e08354ab4b71,2
0a705b56-913a-451a-879c-7a062ba7564d,9de2163c-3f46-4d86-9755-2dd83cf6deb1,2
0aa68333-8aa1-4b45-9e8e-f4df51efc4e2,cf062282-f655-45d1-ac4f-870b4a2580f7,2
0aa68333-8aa1-4b45-9e8e-f4df51efc4e2,d528b497-fb5e-44de-9cb4-1915a6b7e52b,2
0aa68333-8aa1-4b45-9e8e-f4df51efc4e2,ed938a74-95eb-4635-a34d-5f633c5a676e,2
0aa68333-8aa1-4b45-9e8e-f4df51efc4e2,fe3093e8-16f8-4fbe-bd82-4a1364cc88fb,2
0ccf3e57-e5e5-4d6c-a3ea-7835bb453ec9,207e6bea-30de-4dba-857d-38c5a923a6d2,2
0ccf3e57-e5e5-4d6c-a3ea-7835bb453ec9,6e0bbedb-b70b-401a-b11b-6af51616a247,2
0dccb6d9-aab6-477c-8081-41f2c08b1f83,5dfcbbeb-624c-4b9b-bbbd-86575739ea3b,2
0dccb6d9-aab6-477c-8081-41f2c08b1f83,65e0693f-c909-466d-92c2-df24f685d8dd,2
0dccb6d9-aab6-477c-8081-41f2c08b1f83,d77881cf-213c-4811-8b16-12036b0b63b5,2
11807cb7-d13f-4636-a5e4-fdbbb168cb00,ca7d6e76-3f66-4c1a-a9a7-61df767091da,2
11807cb7-d13f-4636-a5e4-fdbbb168cb00,dff7fc36-93b8-46ad-be02-0cfd8e16321c,2
144fa98c-88e7-4ffa-b4ef-3d72a743ba31,457cbafe-fff8-4dfe-ade6-d25de9c0d171,2
144fa98c-88e7-4ffa-b4ef-3d72a743ba31,65e0693f-c909-466d-92c2-df24f685d8dd,2
144fa98c-88e7-4ffa-b4ef-3d72a743ba31,ddf4386e-35d7-4167-b64d-540773b94ca7,2
15fb86bf-d07e-4875-b03c-9100461f0035,f2fbc5db-24f5-4625-91ce-2bd68cfa7d55,2
15fb86bf-d07e-4875-b03c-9100461f0035,fe08c80d-9561-4277-945e-117270001115,2
175b9baf-2485-4ddf-9075-a395bcd6bd58,70f0f8d3-6f6a-4593-8612-775c140bc4c2,2
175b9baf-2485-4ddf-9075-a395bcd6bd58,e33bd26c-af47-4746-a96d-2b234136ccb7,2
19fafff5-9a58-40cf-b91a-2e016480cd6a,4145db9f-7c36-4565-ae51-e08354ab4b71,2
19fafff5-9a58-40cf-b91a-2e016480cd6a,770e0d8d-4f2a-4fb3-815a-54a29d676689,2
19fafff5-9a58-40cf-b91a-2e016480cd6a,8bc65aa4-9e9c-4bd7-940a-9eead1b6b2b1,2
1a5f00be-d7d3-4ff9-bff4-25b75a50728d,399005e8-efc8-4053-808d-431e9b7c43db,2
1c557cd6-92f7-42aa-ba9f-10edab7070fd,a3606d70-ed33-492c-871a-f7c1e055f6d8,2
1c557cd6-92f7-42aa-ba9f-10edab7070fd,d8e50106-8fdd-448d-9b5f-a779d69cd1da,2
1cdb2072-17dd-40a0-847c-500de0f2af4f,36d8b395-38e2-4ae8-8af5-63baa9e4a71e,2
1cdb2072-17dd-40a0-847c-500de0f2af4f,8fc00801-27ad-420c-91cf-e8aec04652b2,2
1cdb2072-17dd-40a0-847c-500de0f2af4f,dff7fc36-93b8-46ad-be02-0cfd8e16321c,2
207e6bea-30de-4dba-857d-38c5a923a6d2,2f5c38f8-dae8-46cd-aa98-174f3825e534,2
207e6bea-30de-4dba-857d-38c5a923a6d2,6e0bbedb-b70b-401a-b11b-6af51616a247,2
207e6bea-30de-4dba-857d-38c5a923a6d2,e82d9954-23ea-4ec4-b9a4-5be78fbef0d2,2
20fd4a1f-ecff-45c0-8921-08e7915fb8bb,e9d67588-137e-40d8-bec3-7ccd4f9464e9,2
22706fe6-a0ba-4da9-85f1-10017a521fe0,d528b497-fb5e-44de-9cb4-1915a6b7e52b,2
22900d32-0de7-4a48-b016-8727779042cb,c35f5e7b-0ec2-4834-9bc9-7b3eecb27948,2
29b1a0f6-6818-4046-b67b-5b8ff6853b30,ec22e2f1-d875-43e4-8f64-cadf8d1902ba,2
